id,platform,topic,content,author_hash,like_count,reply_count,publish_time,source_url
nba_draft-0001,xhs,2026 NBA Draft Opinion Analysis,迪班萨的身体模板确实稀缺，顺位高一点也能理解。适合做球员模板拆解。,df85cc382ac526a7,3,0,2026-06-20T00:00:00+00:00,https://example.com/demo/nba_draft/nba_draft-0001
nba_draft-0002,zhihu,2026 NBA Draft Opinion Analysis,乐透锋线的样本还不够大，还是要等夏联和体测数据。 我看评论区也有人持相反意见。需要和更多比赛样本交叉验证。,656577e43a3c1452,20,7,2026-06-19T23:23:00+00:00,https://example.com/demo/nba_draft/nba_draft-0002
nba_draft-0003,bili,2026 NBA Draft Opinion Analysis,布泽尔对抗还是偏弱，进NBA第一年可能顶不住。 高赞区已经开始讨论。这会影响选秀夜舆论。,79cce6908d6e3d33,37,14,2026-06-19T22:46:00+00:00,https://example.com/demo/nba_draft/nba_draft-0003
nba_draft-0004,weibo,2026 NBA Draft Opinion Analysis,看好控卫新秀，年龄小还有成长空间，球队如果愿意培养会很赚。 这个角度比单纯情绪更重要。适合做球员模板拆解。,9d85800c31d9f288,54,21,2026-06-19T22:09:00+00:00,https://example.com/demo/nba_draft/nba_draft-0004
nba_draft-0005,xhs,2026 NBA Draft Opinion Analysis,我更关心球队培养环境，单看模板很容易高估AJ。需要和更多比赛样本交叉验证。,5119b2246158e479,71,28,2026-06-19T21:32:00+00:00,https://example.com/demo/nba_draft/nba_draft-0005
nba_draft-0006,zhihu,2026 NBA Draft Opinion Analysis,担心皮特森横移速度，换防小后卫会被点名。 我看评论区也有人持相反意见。这会影响选秀夜舆论。,70fe0234fccc02f0,88,35,2026-06-19T20:55:00+00:00,https://example.com/demo/nba_draft/nba_draft-0006
nba_draft-0007,bili,2026 NBA Draft Opinion Analysis,国际内线投射和持球都比预期成熟，放在乐透末性价比不错。 高赞区已经开始讨论。适合做球员模板拆解。,5463dae6cfcd3876,105,4,2026-06-19T20:18:00+00:00,https://example.com/demo/nba_draft/nba_draft-0007
nba_draft-0008,weibo,2026 NBA Draft Opinion Analysis,AJ排在这个区间可以讨论，但别只看集锦下结论。 这个角度比单纯情绪更重要。需要和更多比赛样本交叉验证。,f6c882aacf75c3d6,122,11,2026-06-19T19:41:00+00:00,https://example.com/demo/nba_draft/nba_draft-0008
nba_draft-0009,xhs,2026 NBA Draft Opinion Analysis,皮特森投篮稳定性一般，样本联赛含金量也有争议。这会影响选秀夜舆论。,a1c0e8b19430443e,139,18,2026-06-19T19:04:00+00:00,https://example.com/demo/nba_draft/nba_draft-0009
nba_draft-0010,zhihu,2026 NBA Draft Opinion Analysis,这个顺位选国际内线不亏，刚好适配球队缺锋线的需求。 我看评论区也有人持相反意见。适合做球员模板拆解。,b0539d31f4233a2b,156,25,2026-06-19T18:27:00+00:00,https://example.com/demo/nba_draft/nba_draft-0010
nba_draft-0011,bili,2026 NBA Draft Opinion Analysis,现在榜单变动很快，弗拉格后面还有联合试训。 高赞区已经开始讨论。需要和更多比赛样本交叉验证。,994179f284b20e99,173,32,2026-06-19T17:50:00+00:00,https://example.com/demo/nba_draft/nba_draft-0011
nba_draft-0012,bili,2026 NBA Draft Opinion Analysis,这个顺位选迪班萨感觉过高，模板吹得有点太满。 这个角度比单纯情绪更重要。这会影响选秀夜舆论。,21c55f8cf12d850c,190,1,2026-06-19T17:13:00+00:00,https://example.com/demo/nba_draft/nba_draft-0012
nba_draft-0013,weibo,2026 NBA Draft Opinion Analysis,乐透锋线的话题热度高，媒体曝光能带动新秀关注度。适合做球员模板拆解。,1ee592c3a6546fe1,207,8,2026-06-19T16:36:00+00:00,https://example.com/demo/nba_draft/nba_draft-0013
nba_draft-0014,xhs,2026 NBA Draft Opinion Analysis,这个帖子把顺位和球队需求放一起看，比单纯排名有价值。 我看评论区也有人持相反意见。需要和更多比赛样本交叉验证。,679e319ca312979a,224,15,2026-06-19T15:59:00+00:00,https://example.com/demo/nba_draft/nba_draft-0014
nba_draft-0015,zhihu,2026 NBA Draft Opinion Analysis,迪班萨伤病风险不能忽视，球队要有耐心才行。 高赞区已经开始讨论。这会影响选秀夜舆论。,f463d1d6ab260ac4,241,22,2026-06-19T15:22:00+00:00,https://example.com/demo/nba_draft/nba_draft-0015
nba_draft-0016,bili,2026 NBA Draft Opinion Analysis,国际球员这条线很有潜力，乐透锋线的FIBA经验不是空话。 这个角度比单纯情绪更重要。适合做球员模板拆解。,ea27d774a7286cbe,258,29,2026-06-19T14:45:00+00:00,https://example.com/demo/nba_draft/nba_draft-0016
nba_draft-0017,weibo,2026 NBA Draft Opinion Analysis,补充一下，布泽尔上赛季主要问题是角色变化太快。需要和更多比赛样本交叉验证。,cfcdc8c7ddfc7d6c,15,36,2026-06-19T14:08:00+00:00,https://example.com/demo/nba_draft/nba_draft-0017
nba_draft-0018,xhs,2026 NBA Draft Opinion Analysis,球迷对控卫新秀分歧太大，短期舆论压力会很高。 我看评论区也有人持相反意见。这会影响选秀夜舆论。,95d2379fdea6887d,32,5,2026-06-19T13:31:00+00:00,https://example.com/demo/nba_draft/nba_draft-0018
nba_draft-0019,zhihu,2026 NBA Draft Opinion Analysis,AJ的身体模板确实稀缺，顺位高一点也能理解。 高赞区已经开始讨论。适合做球员模板拆解。,ee1a755800790c63,49,12,2026-06-19T12:54:00+00:00,https://example.com/demo/nba_draft/nba_draft-0019
nba_draft-0020,bili,2026 NBA Draft Opinion Analysis,皮特森的样本还不够大，还是要等夏联和体测数据。 这个角度比单纯情绪更重要。需要和更多比赛样本交叉验证。,8317a046901efcf2,66,19,2026-06-19T12:17:00+00:00,https://example.com/demo/nba_draft/nba_draft-0020
nba_draft-0021,weibo,2026 NBA Draft Opinion Analysis,国际内线对抗还是偏弱，进NBA第一年可能顶不住。这会影响选秀夜舆论。,3f1b44e85d9327a2,83,26,2026-06-19T11:40:00+00:00,https://example.com/demo/nba_draft/nba_draft-0021
nba_draft-0022,xhs,2026 NBA Draft Opinion Analysis,看好AJ，年龄小还有成长空间，球队如果愿意培养会很赚。 我看评论区也有人持相反意见。适合做球员模板拆解。,22213d61e10cb9a2,100,33,2026-06-19T11:03:00+00:00,https://example.com/demo/nba_draft/nba_draft-0022
nba_draft-0023,xhs,2026 NBA Draft Opinion Analysis,我更关心球队培养环境，单看模板很容易高估皮特森。 高赞区已经开始讨论。需要和更多比赛样本交叉验证。,189e850e163c3c1e,117,2,2026-06-19T10:26:00+00:00,https://example.com/demo/nba_draft/nba_draft-0023
nba_draft-0024,zhihu,2026 NBA Draft Opinion Analysis,担心国际内线横移速度，换防小后卫会被点名。 这个角度比单纯情绪更重要。这会影响选秀夜舆论。,3143b512a0338ad8,134,9,2026-06-19T09:49:00+00:00,https://example.com/demo/nba_draft/nba_draft-0024
nba_draft-0025,bili,2026 NBA Draft Opinion Analysis,弗拉格投射和持球都比预期成熟，放在乐透末性价比不错。适合做球员模板拆解。,a0f9797386e66966,151,16,2026-06-19T09:12:00+00:00,https://example.com/demo/nba_draft/nba_draft-0025
nba_draft-0026,weibo,2026 NBA Draft Opinion Analysis,迪班萨排在这个区间可以讨论，但别只看集锦下结论。 我看评论区也有人持相反意见。需要和更多比赛样本交叉验证。,d2c75d801e02f306,168,23,2026-06-19T08:35:00+00:00,https://example.com/demo/nba_draft/nba_draft-0026
nba_draft-0027,xhs,2026 NBA Draft Opinion Analysis,乐透锋线投篮稳定性一般，样本联赛含金量也有争议。 高赞区已经开始讨论。这会影响选秀夜舆论。,190bedf22ee5a180,185,30,2026-06-19T07:58:00+00:00,https://example.com/demo/nba_draft/nba_draft-0027
nba_draft-0028,zhihu,2026 NBA Draft Opinion Analysis,这个顺位选布泽尔不亏，刚好适配球队缺锋线的需求。 这个角度比单纯情绪更重要。适合做球员模板拆解。,df324570919981b4,202,37,2026-06-19T07:21:00+00:00,https://example.com/demo/nba_draft/nba_draft-0028
nba_draft-0029,bili,2026 NBA Draft Opinion Analysis,现在榜单变动很快，迪班萨后面还有联合试训。需要和更多比赛样本交叉验证。,007bb091573f2eb8,219,6,2026-06-19T06:44:00+00:00,https://example.com/demo/nba_draft/nba_draft-0029
nba_draft-0030,weibo,2026 NBA Draft Opinion Analysis,这个顺位选乐透锋线感觉过高，模板吹得有点太满。 我看评论区也有人持相反意见。这会影响选秀夜舆论。,973c7592b6e8842a,236,13,2026-06-19T06:07:00+00:00,https://example.com/demo/nba_draft/nba_draft-0030
nba_draft-0031,xhs,2026 NBA Draft Opinion Analysis,布泽尔的话题热度高，媒体曝光能带动新秀关注度。 高赞区已经开始讨论。适合做球员模板拆解。,289bb6dd64214192,253,20,2026-06-19T05:30:00+00:00,https://example.com/demo/nba_draft/nba_draft-0031
nba_draft-0032,zhihu,2026 NBA Draft Opinion Analysis,这个帖子把顺位和球队需求放一起看，比单纯排名有价值。 这个角度比单纯情绪更重要。需要和更多比赛样本交叉验证。,fc201fc35414d8a6,10,27,2026-06-19T04:53:00+00:00,https://example.com/demo/nba_draft/nba_draft-0032
nba_draft-0033,bili,2026 NBA Draft Opinion Analysis,AJ伤病风险不能忽视，球队要有耐心才行。这会影响选秀夜舆论。,15ac03905d0726bc,27,34,2026-06-19T04:16:00+00:00,https://example.com/demo/nba_draft/nba_draft-0033
nba_draft-0034,bili,2026 NBA Draft Opinion Analysis,国际球员这条线很有潜力，皮特森的FIBA经验不是空话。 我看评论区也有人持相反意见。适合做球员模板拆解。,dc92b6bae8e221a1,44,3,2026-06-19T03:39:00+00:00,https://example.com/demo/nba_draft/nba_draft-0034
nba_draft-0035,weibo,2026 NBA Draft Opinion Analysis,补充一下，国际内线上赛季主要问题是角色变化太快。 高赞区已经开始讨论。需要和更多比赛样本交叉验证。,d414182443782ee9,61,10,2026-06-19T03:02:00+00:00,https://example.com/demo/nba_draft/nba_draft-0035
nba_draft-0036,xhs,2026 NBA Draft Opinion Analysis,球迷对AJ分歧太大，短期舆论压力会很高。 这个角度比单纯情绪更重要。这会影响选秀夜舆论。,3e1ba1eae2a411f6,78,17,2026-06-19T02:25:00+00:00,https://example.com/demo/nba_draft/nba_draft-0036
nba_draft-0037,zhihu,2026 NBA Draft Opinion Analysis,皮特森的身体模板确实稀缺，顺位高一点也能理解。适合做球员模板拆解。,6686e9af0a22e2d8,95,24,2026-06-19T01:48:00+00:00,https://example.com/demo/nba_draft/nba_draft-0037
nba_draft-0038,bili,2026 NBA Draft Opinion Analysis,国际内线的样本还不够大，还是要等夏联和体测数据。 我看评论区也有人持相反意见。需要和更多比赛样本交叉验证。,a7d017576d51f0a4,112,31,2026-06-19T01:11:00+00:00,https://example.com/demo/nba_draft/nba_draft-0038
nba_draft-0039,weibo,2026 NBA Draft Opinion Analysis,弗拉格对抗还是偏弱，进NBA第一年可能顶不住。 高赞区已经开始讨论。这会影响选秀夜舆论。,2735f1d64ac3fd15,129,0,2026-06-19T00:34:00+00:00,https://example.com/demo/nba_draft/nba_draft-0039
nba_draft-0040,xhs,2026 NBA Draft Opinion Analysis,看好迪班萨，年龄小还有成长空间，球队如果愿意培养会很赚。 这个角度比单纯情绪更重要。适合做球员模板拆解。,ef495348c897415a,146,7,2026-06-18T23:57:00+00:00,https://example.com/demo/nba_draft/nba_draft-0040
nba_draft-0041,zhihu,2026 NBA Draft Opinion Analysis,我更关心球队培养环境，单看模板很容易高估乐透锋线。需要和更多比赛样本交叉验证。,aed931b03e3369f9,163,14,2026-06-18T23:20:00+00:00,https://example.com/demo/nba_draft/nba_draft-0041
nba_draft-0042,bili,2026 NBA Draft Opinion Analysis,担心布泽尔横移速度，换防小后卫会被点名。 我看评论区也有人持相反意见。这会影响选秀夜舆论。,4dd4c8f9df3c5cbc,180,21,2026-06-18T22:43:00+00:00,https://example.com/demo/nba_draft/nba_draft-0042
nba_draft-0043,weibo,2026 NBA Draft Opinion Analysis,迪班萨投射和持球都比预期成熟，放在乐透末性价比不错。 高赞区已经开始讨论。适合做球员模板拆解。,86509f10a3ce26c0,197,28,2026-06-18T22:06:00+00:00,https://example.com/demo/nba_draft/nba_draft-0043
nba_draft-0044,xhs,2026 NBA Draft Opinion Analysis,乐透锋线排在这个区间可以讨论，但别只看集锦下结论。 这个角度比单纯情绪更重要。需要和更多比赛样本交叉验证。,cc043e71b09295c6,214,35,2026-06-18T21:29:00+00:00,https://example.com/demo/nba_draft/nba_draft-0044
nba_draft-0045,xhs,2026 NBA Draft Opinion Analysis,布泽尔投篮稳定性一般，样本联赛含金量也有争议。这会影响选秀夜舆论。,5a92e226caf66f13,231,4,2026-06-18T20:52:00+00:00,https://example.com/demo/nba_draft/nba_draft-0045
nba_draft-0046,zhihu,2026 NBA Draft Opinion Analysis,这个顺位选控卫新秀不亏，刚好适配球队缺锋线的需求。 我看评论区也有人持相反意见。适合做球员模板拆解。,60b07769f9ede68b,248,11,2026-06-18T20:15:00+00:00,https://example.com/demo/nba_draft/nba_draft-0046
nba_draft-0047,bili,2026 NBA Draft Opinion Analysis,现在榜单变动很快，AJ后面还有联合试训。 高赞区已经开始讨论。需要和更多比赛样本交叉验证。,adca97662523801e,5,18,2026-06-18T19:38:00+00:00,https://example.com/demo/nba_draft/nba_draft-0047
nba_draft-0048,weibo,2026 NBA Draft Opinion Analysis,这个顺位选皮特森感觉过高，模板吹得有点太满。 这个角度比单纯情绪更重要。这会影响选秀夜舆论。,4fffb9e12ad1e815,22,25,2026-06-18T19:01:00+00:00,https://example.com/demo/nba_draft/nba_draft-0048
nba_draft-0049,xhs,2026 NBA Draft Opinion Analysis,国际内线的话题热度高，媒体曝光能带动新秀关注度。适合做球员模板拆解。,ad3deb9b1258ddcd,39,32,2026-06-18T18:24:00+00:00,https://example.com/demo/nba_draft/nba_draft-0049
nba_draft-0050,zhihu,2026 NBA Draft Opinion Analysis,这个帖子把顺位和球队需求放一起看，比单纯排名有价值。 我看评论区也有人持相反意见。需要和更多比赛样本交叉验证。,2b4f22a99790ed89,56,1,2026-06-18T17:47:00+00:00,https://example.com/demo/nba_draft/nba_draft-0050
nba_draft-0051,bili,2026 NBA Draft Opinion Analysis,皮特森伤病风险不能忽视，球队要有耐心才行。 高赞区已经开始讨论。这会影响选秀夜舆论。,affb54fc074a4481,73,8,2026-06-18T17:10:00+00:00,https://example.com/demo/nba_draft/nba_draft-0051
nba_draft-0052,weibo,2026 NBA Draft Opinion Analysis,国际球员这条线很有潜力，国际内线的FIBA经验不是空话。 这个角度比单纯情绪更重要。适合做球员模板拆解。,c221a658af2be738,90,15,2026-06-18T16:33:00+00:00,https://example.com/demo/nba_draft/nba_draft-0052
nba_draft-0053,xhs,2026 NBA Draft Opinion Analysis,补充一下，弗拉格上赛季主要问题是角色变化太快。需要和更多比赛样本交叉验证。,a8446110b00b63ac,107,22,2026-06-18T15:56:00+00:00,https://example.com/demo/nba_draft/nba_draft-0053
nba_draft-0054,zhihu,2026 NBA Draft Opinion Analysis,球迷对迪班萨分歧太大，短期舆论压力会很高。 我看评论区也有人持相反意见。这会影响选秀夜舆论。,82851cb425092d36,124,29,2026-06-18T15:19:00+00:00,https://example.com/demo/nba_draft/nba_draft-0054
nba_draft-0055,bili,2026 NBA Draft Opinion Analysis,乐透锋线的身体模板确实稀缺，顺位高一点也能理解。 高赞区已经开始讨论。适合做球员模板拆解。,2492be7308f564f7,141,36,2026-06-18T14:42:00+00:00,https://example.com/demo/nba_draft/nba_draft-0055
nba_draft-0056,bili,2026 NBA Draft Opinion Analysis,布泽尔的样本还不够大，还是要等夏联和体测数据。 这个角度比单纯情绪更重要。需要和更多比赛样本交叉验证。,282cef272cd9977d,158,5,2026-06-18T14:05:00+00:00,https://example.com/demo/nba_draft/nba_draft-0056
