id,platform,topic,content,author_hash,like_count,reply_count,publish_time,source_url
nba_game-0001,hupu,马刺 vs 尼克斯 G6 赛后讨论,文班亚马末节关键球执行很稳，连续两次挡拆都找到了最合理的机会。 我更看重完整比赛过程。,f4cbbad1d13e87a9,0,0,2026-06-25T12:00:00+00:00,https://example.com/demo/hupu/nba_game/nba_game-0001
nba_game-0002,hupu,马刺 vs 尼克斯 G6 赛后讨论,伤病影响了轮换，但防守漏人和沟通问题不能全怪伤病。 这一点在赛后讨论里分歧很大。,857876420181bf2e,37,13,2026-06-25T11:53:00+00:00,https://example.com/demo/hupu/nba_game/nba_game-0002
nba_game-0003,hupu,马刺 vs 尼克斯 G6 赛后讨论,回看第三节，双方都在针对中锋换防，战术选择有迹可循。 高赞不一定代表全部球迷。,b6691ade21d1c09e,74,26,2026-06-25T11:46:00+00:00,https://example.com/demo/hupu/nba_game/nba_game-0003
nba_game-0004,hupu,马刺 vs 尼克斯 G6 赛后讨论,暂停后的联防调整有效，第三节追回分差不是偶然。 别只用一个回合给整场表现下结论。,7feb7ad2049fd02c,111,39,2026-06-25T11:39:00+00:00,https://example.com/demo/hupu/nba_game/nba_game-0004
nba_game-0005,hupu,马刺 vs 尼克斯 G6 赛后讨论,双方替补今天手感低迷还一直浪投，关键阶段球权处理不合理。 等官方数据和回放再判断。,c93896b5acdbdfc5,148,52,2026-06-25T11:32:00+00:00,https://example.com/demo/hupu/nba_game/nba_game-0005
nba_game-0006,hupu,马刺 vs 尼克斯 G6 赛后讨论,主队上半场打得更快，客队下半场通过阵地战把节奏压了下来。 我更看重完整比赛过程。,73ca5df89fb85311,185,65,2026-06-25T11:25:00+00:00,https://example.com/demo/hupu/nba_game/nba_game-0006
nba_game-0007,hupu,马刺 vs 尼克斯 G6 赛后讨论,文班亚马今天防守轮转太到位，协防和护框改变了比赛走势。 这一点在赛后讨论里分歧很大。,4ebd523303fc97a1,222,78,2026-06-25T11:18:00+00:00,https://example.com/demo/hupu/nba_game/nba_game-0007
nba_game-0008,hupu,马刺 vs 尼克斯 G6 赛后讨论,最后两分钟裁判判罚争议太大，布伦森那次防守看回放不像犯规。 高赞不一定代表全部球迷。,0de66199122c015c,270,11,2026-06-25T11:11:00+00:00,https://example.com/demo/hupu/nba_game/nba_game-0008
nba_game-0009,hupu,马刺 vs 尼克斯 G6 赛后讨论,补充一下，最后五分钟两队合计只有两次失误。 别只用一个回合给整场表现下结论。,9007498152d81f34,307,24,2026-06-25T11:04:00+00:00,https://example.com/demo/hupu/nba_game/nba_game-0009
nba_game-0010,hupu,马刺 vs 尼克斯 G6 赛后讨论,替补阵容贡献了真正的比赛强度，板凳奇兵值得表扬。 等官方数据和回放再判断。,63c45d1eabc085cd,344,37,2026-06-25T10:57:00+00:00,https://example.com/demo/hupu/nba_game/nba_game-0010
nba_game-0011,hupu,马刺 vs 尼克斯 G6 赛后讨论,边线球战术完全没跑出来，暂停回来出现这种失误不能接受。 我更看重完整比赛过程。,9b69a365c9df2595,381,50,2026-06-25T10:50:00+00:00,https://example.com/demo/hupu/nba_game/nba_game-0011
nba_game-0012,hupu,马刺 vs 尼克斯 G6 赛后讨论,系列赛打到 G6，体能和轮换长度已经比单场手感更重要。 这一点在赛后讨论里分歧很大。,267f77a2f4b7fe73,418,63,2026-06-25T10:43:00+00:00,https://example.com/demo/hupu/nba_game/nba_game-0012
nba_game-0013,hupu,马刺 vs 尼克斯 G6 赛后讨论,这场团队进攻很流畅，转移球比前几场明显更快。 高赞不一定代表全部球迷。,56991109d0914824,455,76,2026-06-25T10:36:00+00:00,https://example.com/demo/hupu/nba_game/nba_game-0013
nba_game-0014,hupu,马刺 vs 尼克斯 G6 赛后讨论,主队后场今天防守轮转太到位，协防和护框改变了比赛走势。 别只用一个回合给整场表现下结论。,dde424b09b57e381,492,9,2026-06-25T10:29:00+00:00,https://example.com/demo/hupu/nba_game/nba_game-0014
