id,platform,topic,content,author_hash,like_count,reply_count,publish_time,source_url
news_event-0001,weibo,News Event Public Opinion Analysis,发布会回应把时间线讲清楚了，比只看热搜标题靠谱。适合做信息澄清卡片。,c01e2b3673b5b2e6,3,0,2026-06-20T00:00:00+00:00,https://example.com/demo/news_event/news_event-0001
news_event-0002,toutiao,News Event Public Opinion Analysis,现场视频目前信息还不完整，先等正式结论。 我看评论区也有人持相反意见。先不要过度判断立场。,e5accd30846e2aff,20,7,2026-06-19T23:23:00+00:00,https://example.com/demo/news_event/news_event-0002
news_event-0003,bili,News Event Public Opinion Analysis,媒体报道解释不够透明，关键细节还是没说清楚。 高赞区已经开始讨论。如果拖延会放大不信任。,8e4618eec2fde60a,37,14,2026-06-19T22:46:00+00:00,https://example.com/demo/news_event/news_event-0003
news_event-0004,zhihu,News Event Public Opinion Analysis,支持继续公开信息，后续处理至少回应了大家最关心的问题。 这个角度比单纯情绪更重要。适合做信息澄清卡片。,7dd040415a15b991,54,21,2026-06-19T22:09:00+00:00,https://example.com/demo/news_event/news_event-0004
news_event-0005,weibo,News Event Public Opinion Analysis,只看官方通报还不能判断全貌，需要更多原始材料。先不要过度判断立场。,9b2fb637247d682e,71,28,2026-06-19T21:32:00+00:00,https://example.com/demo/news_event/news_event-0005
news_event-0006,toutiao,News Event Public Opinion Analysis,担心调查进展只是在转移重点，没有回应核心质疑。 我看评论区也有人持相反意见。如果拖延会放大不信任。,434ea81f76cb0235,88,35,2026-06-19T20:55:00+00:00,https://example.com/demo/news_event/news_event-0006
news_event-0007,bili,News Event Public Opinion Analysis,评论区讨论有事实依据，能减少很多无效争吵。 高赞区已经开始讨论。适合做信息澄清卡片。,cf2fc8d71e591337,105,4,2026-06-19T20:18:00+00:00,https://example.com/demo/news_event/news_event-0007
news_event-0008,zhihu,News Event Public Opinion Analysis,官方通报有价值，但评论区很多人把立场和事实混在一起。 这个角度比单纯情绪更重要。先不要过度判断立场。,44247b9ad77da242,122,11,2026-06-19T19:41:00+00:00,https://example.com/demo/news_event/news_event-0008
news_event-0009,weibo,News Event Public Opinion Analysis,调查进展里有些表述前后不一致，容易造成信任问题。如果拖延会放大不信任。,c5080db658677c47,139,18,2026-06-19T19:04:00+00:00,https://example.com/demo/news_event/news_event-0009
news_event-0010,toutiao,News Event Public Opinion Analysis,这次评论区讨论比较克制，没有把情绪往对立上带。 我看评论区也有人持相反意见。适合做信息澄清卡片。,39c759936867bcff,156,25,2026-06-19T18:27:00+00:00,https://example.com/demo/news_event/news_event-0010
