id,platform,topic,content,author_hash,like_count,reply_count,publish_time,source_url
world_cup_game-0001,hupu,阿根廷 vs 法国 世界杯淘汰赛讨论,阿根廷中场高位压迫执行得很统一，开场就限制了对手出球。 我更看重完整比赛过程。,1f00e919d861f8a4,0,0,2026-06-25T12:00:00+00:00,https://example.com/demo/hupu/world_cup_game/world_cup_game-0001
world_cup_game-0002,hupu,阿根廷 vs 法国 世界杯淘汰赛讨论,伤停确实影响阵容，但定位球漏人还是基本沟通问题。 这一点在赛后讨论里分歧很大。,153e1bcc05547c7b,37,13,2026-06-25T11:53:00+00:00,https://example.com/demo/hupu/world_cup_game/world_cup_game-0002
world_cup_game-0003,hupu,阿根廷 vs 法国 世界杯淘汰赛讨论,复盘这个丢球，问题从中场失位开始，不只是中卫一人的责任。 高赞不一定代表全部球迷。,a1985335ee755c69,74,26,2026-06-25T11:46:00+00:00,https://example.com/demo/hupu/world_cup_game/world_cup_game-0003
world_cup_game-0004,hupu,阿根廷 vs 法国 世界杯淘汰赛讨论,防线造越位非常整齐，零封不是靠运气。 别只用一个回合给整场表现下结论。,0e931f57b92177bd,111,39,2026-06-25T11:39:00+00:00,https://example.com/demo/hupu/world_cup_game/world_cup_game-0004
world_cup_game-0005,hupu,阿根廷 vs 法国 世界杯淘汰赛讨论,防线回传失误太致命，淘汰赛不能给对手这种机会。 等官方数据和回放再判断。,525c4265f41b390c,148,52,2026-06-25T11:32:00+00:00,https://example.com/demo/hupu/world_cup_game/world_cup_game-0005
world_cup_game-0006,hupu,阿根廷 vs 法国 世界杯淘汰赛讨论,不要只看控球率，二点球和反击质量更能说明比赛走势。 我更看重完整比赛过程。,771c6accbda73f5c,185,65,2026-06-25T11:25:00+00:00,https://example.com/demo/hupu/world_cup_game/world_cup_game-0006
world_cup_game-0007,hupu,阿根廷 vs 法国 世界杯淘汰赛讨论,这次边路突破后的倒三角配合很漂亮，进球来自完整的战术设计。 这一点在赛后讨论里分歧很大。,ec20f69dfc4b6438,222,78,2026-06-25T11:18:00+00:00,https://example.com/demo/hupu/world_cup_game/world_cup_game-0007
world_cup_game-0008,hupu,阿根廷 vs 法国 世界杯淘汰赛讨论,这个点球判罚争议很大，VAR 回看没有消除球迷疑问。 高赞不一定代表全部球迷。,b2e848d52880eff6,270,11,2026-06-25T11:11:00+00:00,https://example.com/demo/hupu/world_cup_game/world_cup_game-0008
world_cup_game-0009,hupu,阿根廷 vs 法国 世界杯淘汰赛讨论,补充数据：双方射正次数接近，门将处理拉开了差距。 别只用一个回合给整场表现下结论。,2363bb83da3a4df2,307,24,2026-06-25T11:04:00+00:00,https://example.com/demo/hupu/world_cup_game/world_cup_game-0009
world_cup_game-0010,hupu,阿根廷 vs 法国 世界杯淘汰赛讨论,替补上场后立刻提升攻防转换速度，这次换人效果明显。 等官方数据和回放再判断。,02e533413d018638,344,37,2026-06-25T10:57:00+00:00,https://example.com/demo/hupu/world_cup_game/world_cup_game-0010
world_cup_game-0011,hupu,阿根廷 vs 法国 世界杯淘汰赛讨论,教练调整太晚，边路已经被打穿才想起换人。 我更看重完整比赛过程。,42567181dc8ba4b7,381,50,2026-06-25T10:50:00+00:00,https://example.com/demo/hupu/world_cup_game/world_cup_game-0011
world_cup_game-0012,hupu,阿根廷 vs 法国 世界杯淘汰赛讨论,淘汰赛阶段体能分配很重要，双方最后二十分钟都主动降速。 这一点在赛后讨论里分歧很大。,1eb1d2e54fd97cf6,418,63,2026-06-25T10:43:00+00:00,https://example.com/demo/hupu/world_cup_game/world_cup_game-0012
world_cup_game-0013,hupu,阿根廷 vs 法国 世界杯淘汰赛讨论,法国边锋两次关键扑救保住了比分，门将表现是胜负手。 高赞不一定代表全部球迷。,bf2a034994dd4639,455,76,2026-06-25T10:36:00+00:00,https://example.com/demo/hupu/world_cup_game/world_cup_game-0013
world_cup_game-0014,hupu,阿根廷 vs 法国 世界杯淘汰赛讨论,这次边路突破后的倒三角配合很漂亮，进球来自完整的战术设计。 别只用一个回合给整场表现下结论。,aa0e8ef50c3a4fa7,492,9,2026-06-25T10:29:00+00:00,https://example.com/demo/hupu/world_cup_game/world_cup_game-0014
world_cup_game-0015,hupu,阿根廷 vs 法国 世界杯淘汰赛讨论,这个点球判罚争议很大，VAR 回看没有消除球迷疑问。 等官方数据和回放再判断。,c634a883a367b173,540,22,2026-06-25T10:22:00+00:00,https://example.com/demo/hupu/world_cup_game/world_cup_game-0015
world_cup_game-0016,hupu,阿根廷 vs 法国 世界杯淘汰赛讨论,从射门分布看，双方替补控球更多，但真正进入禁区的机会并不多。 我更看重完整比赛过程。,19a03e7d8e5b2c80,577,35,2026-06-25T10:15:00+00:00,https://example.com/demo/hupu/world_cup_game/world_cup_game-0016
world_cup_game-0017,hupu,阿根廷 vs 法国 世界杯淘汰赛讨论,淘汰赛能踢出这种对攻节奏，比赛观赏性拉满。 这一点在赛后讨论里分歧很大。,6329f1d825708cf9,614,48,2026-06-25T10:08:00+00:00,https://example.com/demo/hupu/world_cup_game/world_cup_game-0017
