id,platform,topic,content,author_hash,like_count,reply_count,publish_time,source_url
iaa_game-0001,weibo,IAA Game Review Pain Point Mining,新手关卡节奏挺爽，碎片时间打开玩两把刚好。这个点适合做商店页卖点。,16fc3b9ebb908de3,3,0,2026-06-20T00:00:00+00:00,https://example.com/demo/iaa_game/iaa_game-0001
iaa_game-0002,douyin,IAA Game Review Pain Point Mining,匹配模式可以继续观察，前十分钟体验还行，后面要看广告频率。 我看评论区也有人持相反意见。需要拆开新老用户看。,9a71634b06833eed,20,7,2026-06-19T23:23:00+00:00,https://example.com/demo/iaa_game/iaa_game-0002
iaa_game-0003,tap,IAA Game Review Pain Point Mining,失败结算强制广告太多，刚进入关键环节就被打断。 高赞区已经开始讨论。很容易变成差评关键词。,7d33ccdfcb734245,37,14,2026-06-19T22:46:00+00:00,https://example.com/demo/iaa_game/iaa_game-0003
iaa_game-0004,bili,IAA Game Review Pain Point Mining,每日任务奖励给得还算大方，广告如果自愿看可以接受。 这个角度比单纯情绪更重要。这个点适合做商店页卖点。,4474e51f7693640e,54,21,2026-06-19T22:09:00+00:00,https://example.com/demo/iaa_game/iaa_game-0004
iaa_game-0005,weibo,IAA Game Review Pain Point Mining,我不反对广告变现，但抽卡活动最好把触发点讲清楚。需要拆开新老用户看。,5dc395c5b4abb261,71,28,2026-06-19T21:32:00+00:00,https://example.com/demo/iaa_game/iaa_game-0005
iaa_game-0006,douyin,IAA Game Review Pain Point Mining,激励广告卡顿和发热明显，手机玩十分钟就烫。 我看评论区也有人持相反意见。很容易变成差评关键词。,2cf5bb81aeada0a1,88,35,2026-06-19T20:55:00+00:00,https://example.com/demo/iaa_game/iaa_game-0006
iaa_game-0007,tap,IAA Game Review Pain Point Mining,画风比同类IAA游戏舒服，剧情副本没有太重的学习成本。 高赞区已经开始讨论。这个点适合做商店页卖点。,c1a1a6abbf65ec73,105,4,2026-06-19T20:18:00+00:00,https://example.com/demo/iaa_game/iaa_game-0007
iaa_game-0008,bili,IAA Game Review Pain Point Mining,抽卡活动现在属于能玩，但长期留存还要看更新节奏。 这个角度比单纯情绪更重要。需要拆开新老用户看。,8db648219fad3a3c,122,11,2026-06-19T19:41:00+00:00,https://example.com/demo/iaa_game/iaa_game-0008
iaa_game-0009,weibo,IAA Game Review Pain Point Mining,氪金礼包弹窗有点密，激励广告给人的压力很大。很容易变成差评关键词。,651ca7eb8365c73f,139,18,2026-06-19T19:04:00+00:00,https://example.com/demo/iaa_game/iaa_game-0009
iaa_game-0010,douyin,IAA Game Review Pain Point Mining,剧情副本反馈很即时，连胜的时候确实有继续玩的动力。 我看评论区也有人持相反意见。这个点适合做商店页卖点。,a8b75f04c4e09dd1,156,25,2026-06-19T18:27:00+00:00,https://example.com/demo/iaa_game/iaa_game-0010
iaa_game-0011,tap,IAA Game Review Pain Point Mining,建议把体力系统的数据和关卡难度分开展示，不然不好判断。 高赞区已经开始讨论。需要拆开新老用户看。,ffd782ea16dcc5e6,173,32,2026-06-19T17:50:00+00:00,https://example.com/demo/iaa_game/iaa_game-0011
iaa_game-0012,tap,IAA Game Review Pain Point Mining,新手关卡数值不平衡，连续遇到高战力对手很劝退。 这个角度比单纯情绪更重要。很容易变成差评关键词。,5a62df1670e28cde,190,1,2026-06-19T17:13:00+00:00,https://example.com/demo/iaa_game/iaa_game-0012
iaa_game-0013,bili,IAA Game Review Pain Point Mining,剧情和关卡包装比预期好，匹配模式不是纯换皮。这个点适合做商店页卖点。,bf440c93e9241d1c,207,8,2026-06-19T16:36:00+00:00,https://example.com/demo/iaa_game/iaa_game-0013
iaa_game-0014,weibo,IAA Game Review Pain Point Mining,如果后续活动稳定，失败结算可能会留下来。 我看评论区也有人持相反意见。需要拆开新老用户看。,5cfae666f8e6b3ed,224,15,2026-06-19T15:59:00+00:00,https://example.com/demo/iaa_game/iaa_game-0014
